sf,adduct,mz,moc,spec,spat
C108H182O91,H,2936.97207571,0.999591628382,0.619699789531,0.9136903325
C11H12N2O3,Na,243.074011246,0.999628062075,0.901019258515,0.995877759168
C12H18N2O2,H,223.144102196,0.999627918912,0.905617900798,0.995901141068
C12H18N2O5,H,271.128846056,0.999626192318,0.979242383625,0.954404046762
C12H21NO9S2,Na,410.054984284,0.999628490904,0.538118926586,0.973124486318
C12H5Br5O,H,564.62884502,0.999626481195,0.853592204647,0.96895746792
C13H16N10O5S,H,425.109860495,0.999628205128,0.687301600393,0.982554233871
C13H17N3O4,H,280.129180416,0.99958926967,0.840551914295,0.972578479227
C13H21NO10,K,390.079691935,0.999575125531,0.561791461955,0.980031290436
C13H9F3N2O2,Na,305.050831136,0.999626047711,0.900066788456,0.985656792744
C14H11Cl2NO3,H,312.018847345,0.999626047711,0.870173437601,0.944134559515
C14H11Cl2NO4,K,365.96965811,0.999586563307,0.978042555815,0.928422612116
C14H12O4,K,283.036716972,0.999563934847,0.588718783409,0.976612474083
C14H27N4O10P2,K,512.083387135,0.999629061141,0.992035106433,0.990858934266
C15H12O3,K,279.041802352,0.999626625467,0.604040244053,0.975326273478
C15H14O11,Na,393.042831349,0.999625902993,0.989325480348,0.956225872954
C15H18N4O4,K,357.095963212,0.999627775639,0.606407233351,0.976561399776
C15H21NO11S2,Na,478.044813524,0.999625468165,0.984644136389,0.975121480671
C15H23N3O3,K,332.137099742,0.999627775639,0.980978808419,0.988562087436
C16H13ClO6,K,375.003197666,0.99962720144,0.737742901521,0.965102332671
C16H14F3N3O3S,K,424.033945931,0.999628062075,0.584719876808,0.959519210411
C16H16N2O6S2,H,397.052244644,0.999625177717,0.586626789284,0.958172156822
C16H16O9,H,353.086707539,0.999626913676,0.988158163149,0.954538960436
C16H20O8,K,379.078963655,0.999628062075,0.995754384411,0.999033745853
C16H23NO6,H,326.159812919,0.999492829661,0.829284566794,0.96746496695
C16H23NO7,Na,364.136672169,0.999626625467,0.931204117552,0.993318816063
C16H34NO5P,H,352.224735139,0.99962561322,0.860599320963,0.945371440748
C17H19NO3,Na,308.125712466,0.999495476688,0.87321556476,0.99306659977
C17H22O11,K,441.079357575,0.999504273504,0.963043763604,0.980154277305
C17H22O9,H,371.133657739,0.999589585738,0.990890191571,0.981521461693
C17H24BrNO3,K,410.055247622,0.999628490904,0.852094166643,0.97804068233
C17H26O10,K,429.115743085,0.999588953115,0.604791733076,0.974194682565
C17H27N3O20P2S,Na,710.027592232,0.999629203427,0.992167554923,0.997125539356
C18H12O4,K,331.036716179,0.999624741201,0.631301033119,0.952847597016
C18H15N3O8S2,H,466.037322864,0.999628205128,0.947075314971,0.984065659504
C18H16O9,H,377.086707539,0.999495739871,0.779847385641,0.950185577568
C18H23N3O6,Na,400.147905569,0.999628205128,0.944434306438,0.991421822645
C18H26ClN3O,Na,358.165649884,0.999626336812,0.986550151449,0.929884729263
C18H26O19,K,585.069974082,0.999602411184,0.991678643974,0.998072246654
C18H26O5,H,323.185299379,0.999587203302,0.855675767502,0.959222095456
C18H29N3O5,H,368.217996509,0.999589111454,0.872446751229,0.99250007824
C18H30O2,H,279.231854556,0.999628062075,0.990705602736,0.99793894682
C18H35NO3,K,352.224852102,0.99962561322,0.986997878805,0.948710447003
C18H36O,Na,291.265834756,0.999626769627,0.898840809997,0.993832312426
C18H37NO,H,284.294789176,0.99962748876,0.991787126435,0.93622174083
C19H11NO4,Na,340.058027919,0.99958990132,0.867333260785,0.985623066285
C19H12O3,Na,311.067863226,0.999624741201,0.865825980689,0.957572007189
C19H16O7,Na,379.078822929,0.999628062075,0.845877703169,0.98440254847
C19H22NO4S2,H,393.106291594,0.999627057613,0.618341423826,0.976193752886
C19H24N2O3,K,367.141850762,0.999627775639,0.610296413033,0.967765522164
C19H30O10,K,457.147043215,0.999628205128,0.980531347842,0.988272082701
C19H39O6P,K,433.211571515,0.999627775639,0.634797951421,0.964919501212
C20H18O10,Na,441.079216859,0.999504273504,0.80945107507,0.961508854228
C20H18O5,Na,361.104643759,0.999626769627,0.860671232235,0.967108835999
C20H22O9,Na,429.115602359,0.999588953115,0.824374424909,0.990733918666
C20H28N2O3,K,383.173150099,0.999628490904,0.662637387671,0.97580599111
C20H28N2O5S,K,447.135038805,0.999627775639,0.989039771799,0.998483813985
C21H16O6,K,403.057834285,0.999626481195,0.640781949112,0.94354975306
C21H20N4O2,H,361.165900276,0.999626336812,0.803430473799,0.938656046599
C21H26O9,H,423.164957859,0.999626625467,0.988983384897,0.947550629583
C21H27N3O7S,Na,488.146182524,0.999627632255,0.98897256517,0.992623109779
C21H36O3,H,337.273720459,0.999624303666,0.857736639514,0.973471591027
C21H41O6P,H,421.271350969,0.999628348071,0.990369795205,0.972321980639
C21H43N5O7,Na,500.305468849,0.999625902993,0.987655070616,0.9443060386
C21H44NO6P,Na,460.279844709,0.999601644821,0.983357560794,0.995847618542
C22H18O8,Na,433.089387619,0.99962720144,0.8263607072,0.981742779441
C22H18O9,Na,449.084302239,0.999627775639,0.818082203069,0.961368190108
C22H30O2,H,327.231854556,0.999628776242,0.876898222381,0.990451299623
C22H31NO,K,364.203712191,0.99962561322,0.981691173159,0.938961553992
C22H32O14,Na,543.168425779,0.999628348071,0.991638503825,0.997299573947
C22H36N4O13,H,565.235162699,0.999626769627,0.790501533265,0.935012833213
C22H36O13,K,547.178737265,0.999625758162,0.622516120302,0.95112899815
C23H23N3O5,K,460.126918441,0.999626913676,0.984430639766,0.998393500895
C23H24N2O4S,Na,447.134898079,0.999627775639,0.73512393147,0.9731518
C23H27Cl2N3O2,K,486.1111774,0.999627918912,0.981512201148,0.931414416718
C23H32O7,K,459.177950931,0.999627775639,0.648201483812,0.973760168016
C23H36N2O2,H,373.284952766,0.999626913676,0.987550113154,0.918018847187
C24H17N3O7S3,Na,578.012060015,0.999626769627,0.660222919079,0.949366505745
C24H26O12,H,507.149701964,0.999493891798,0.906049879514,0.941399446317
C24H28N2O5,K,463.162969591,0.999627345155,0.658419149163,0.951135129947
C24H28O7,K,467.146650811,0.999625468165,0.98545578254,0.933481972219
C24H30O7,H,431.206428994,0.999628062075,0.84883452406,0.990318970962
C24H38N7O17P3S,H,822.133036632,0.99962720144,0.989866975559,0.99763050824
C25H24O14,K,587.079753021,0.999495476688,0.62101912842,0.933062889255
C25H26O7,Na,461.157073494,0.999576923077,0.992371747104,0.998891109683
C25H31F3O5S,H,501.191705114,0.999626481195,0.984128943067,0.919086763901
C25H32O12,Na,547.178596784,0.999625758162,0.786857999876,0.950015422571
C25H34O7S,Na,501.191735724,0.999626481195,0.982810764933,0.934650189027
C26H28O16,H,597.144998422,0.999496789866,0.978814310016,0.996157553976
C26H28O6,Na,459.177808944,0.999627775639,0.971537374224,0.997492905758
C26H28O8,K,507.141565431,0.999489346716,0.648646060872,0.933374193755
C26H32F2O7,H,495.218885464,0.999626047711,0.966748168859,0.927694377247
C26H33NO12,K,590.163423081,0.999628348071,0.636106332711,0.960219025659
C26H34O13,K,593.163088721,0.999548472776,0.603127779131,0.927603866442
C26H38O12,K,581.199474231,0.999628348071,0.833851639828,0.960397630158
C27H20N4O9S2,K,647.030300076,0.999626913676,0.988817308966,0.983960960118
C27H20O18,K,671.028109272,0.999628062075,0.987297336569,0.997397042358
