Formula	Adduct	Multiplier
'C28H30O12'	'H'	0.813137944478239
'C27H35N3O6'	'K'	0.572016606323806
'C12H18O6'	'Na'	0.637760372929411
'C61H98O6'	'K'	0.298027177395249
'C18H36O4'	'Na'	0.427617331045258
'C15H21NO11S2'	'Na'	0.367517827626222
'C20H28N2O5S'	'K'	0.866455227076784
'C29H32O16'	'H'	0.976320635133947
'C5H11N3O4'	'Na'	0.661259443717281
'C13H25NO4'	'K'	0.903051274066424
'C9H11N3O3'	'Na'	0.982812437458884
'C11H19N4O4'	'K'	0.682281194311432
'C46H82O13P2'	'K'	0.818936657341845
'C26H28O6'	'Na'	0.464386999499478
'C20H32O'	'H'	0.534127988158224
'C11H10N2OS'	'Na'	0.157503123361816
'C8H5NO2'	'H'	0.822635677736773
'C22H32O14'	'Na'	0.415963898937340
'C32H38O14'	'Na'	0.864345205166100
'C51H76O16'	'K'	0.992626494744367
'C19H30O10'	'K'	0.535891559016871
'C22H16N6O3'	'K'	0.420728135821826
'C46H70O18'	'K'	0.148933976535911
'C12H29N3'	'Na'	0.922669354019268
'C18H26O19'	'K'	0.734471867227704
'C46H81O10P'	'Na'	0.494275244366104
'C8H8Cl3N3O4S2'	'H'	0.971298122766863
'C42H38O12'	'H'	0.751438754340698
'C36H49N5O6'	'K'	0.691122976912512
'C17H19NO3'	'Na'	0.563294430044822
'C15H18'	'K'	0.889350631744012
'C11H10NO2'	'H'	0.154156744624975
'C91H161N3O39'	'Na'	0.524329882295766
'C50H85N3O15P2'	'Na'	0.379914916544373
'C9H11N2O8P'	'H'	0.275223764556239
'C10H13ClO4'	'Na'	0.235944584981961
'C57H108O5'	'Na'	0.911278364465773
'C2H3BrO'	'H'	0.163592465813578
'C23H25NO6'	'Na'	0.962548945258734
'C84H132O46'	'H'	0.729900765619886
'C16H14O3'	'H'	0.110808697499533
'C19H22NO4S2'	'H'	0.104392359387193
'C12H26O2'	'H'	0.867962258095623
'C7H7NO5'	'H'	0.520558997010413
'C15H20N2O4S'	'H'	0.853046792990035
'C11H12N2O3'	'Na'	0.298562326195504
'C29H34O17'	'H'	0.825364451306719
'C15H14O11'	'Na'	0.323721496666819
'C19H22O9'	'K'	0.998445350357041
'C31H52O'	'Na'	0.944107865594316
'C9H10N2O3'	'Na'	0.598560718016886
'C16H12O5'	'Na'	0.921427682050629
'C16H20N2O8'	'H'	0.671940942603952
'C30H24O13'	'Na'	0.802086159120511
'C50H82O22'	'K'	0.610496359515795
